,Kabupaten / Kota,Tahun,Pendapatan Perempuan
1,3300 PROVINSI JAWA TENGAH,2013,32.99
2,3301 Kabupaten Cilacap,2013,24.74
3,3302 Kabupaten Banyumas,2013,29.55
4,3303 Kabupaten Purbalingga,2013,28.98
5,3304 Kabupaten Banjarnegara,2013,27.92
6,3305 Kabupaten Kebumen,2013,23.67
7,3306 Kabupaten Purworejo,2013,32.12
8,3307 Kabupaten Wonosobo,2013,22.97
9,3308 Kabupaten Magelang,2013,36.93
10,3309 Kabupaten Boyolali,2013,39.75
11,3310 Kabupaten Klaten,2013,36.92
12,3311 Kabupaten Sukoharjo,2013,40.1
13,3312 Kabupaten Wonogiri,2013,37.23
14,3313 Kabupaten Karanganyar,2013,36.91
15,3314 Kabupaten Sragen,2013,35.72
16,3315 Kabupaten Grobogan,2013,23.35
17,3316 Kabupaten Blora,2013,33.88
18,3317 Kabupaten Rembang,2013,31.14
19,3318 Kabupaten Pati,2013,30.14
20,3319 Kabupaten Kudus,2013,40.56
21,3320 Kabupaten Jepara,2013,22.76
22,3321 Kabupaten Demak,2013,37.99
23,3322 Kabupaten Semarang,2013,45.34
24,3323 Kabupaten Temanggung,2013,40.72
25,3324 Kabupaten Kendal,2013,33.18
26,3325 Kabupaten Batang,2013,26.48
27,3326 Kabupaten Pekalongan,2013,24.63
28,3327 Kabupaten Pemalang,2013,33.37
29,3328 Kabupaten Tegal,2013,26.97
30,3329 Kabupaten Brebes,2013,23.51
31,3371 Kota Magelang,2013,40.22
32,3372 Kota Surakarta,2013,42.72
33,3373 Kota Salatiga,2013,41.47
34,3374 Kota Semarang,2013,35.54
35,3375 Kota Pekalongan,2013,27.12
36,3376 Kota Tegal,2013,28.36
38,3300 PROVINSI JAWA TENGAH,2015,34.6
39,3301 Kabupaten Cilacap,2015,26.11
40,3302 Kabupaten Banyumas,2015,30.29
41,3303 Kabupaten Purbalingga,2015,29.87
42,3304 Kabupaten Banjarnegara,2015,28.77
43,3305 Kabupaten Kebumen,2015,25.1
44,3306 Kabupaten Purworejo,2015,33.92
45,3307 Kabupaten Wonosobo,2015,23.89
46,3308 Kabupaten Magelang,2015,37.33
47,3309 Kabupaten Boyolali,2015,40.52
48,3310 Kabupaten Klaten,2015,37.69
49,3311 Kabupaten Sukoharjo,2015,41.03
50,3312 Kabupaten Wonogiri,2015,39.16
51,3313 Kabupaten Karanganyar,2015,38.1
52,3314 Kabupaten Sragen,2015,37.06
53,3315 Kabupaten Grobogan,2015,24.62
54,3316 Kabupaten Blora,2015,34.7
55,3317 Kabupaten Rembang,2015,31.68
56,3318 Kabupaten Pati,2015,31.37
57,3319 Kabupaten Kudus,2015,40.94
58,3320 Kabupaten Jepara,2015,23.14
59,3321 Kabupaten Demak,2015,38.68
60,3322 Kabupaten Semarang,2015,45.78
61,3323 Kabupaten Temanggung,2015,40.83
62,3324 Kabupaten Kendal,2015,34.66
63,3325 Kabupaten Batang,2015,27.89
64,3326 Kabupaten Pekalongan,2015,25.52
65,3327 Kabupaten Pemalang,2015,35.27
66,3328 Kabupaten Tegal,2015,29
67,3329 Kabupaten Brebes,2015,24.64
68,3371 Kota Magelang,2015,41.81
69,3372 Kota Surakarta,2015,43.93
70,3373 Kota Salatiga,2015,41.34
71,3374 Kota Semarang,2015,36.75
72,3375 Kota Pekalongan,2015,27.64
73,3376 Kota Tegal,2015,29.6
75,3300 PROVINSI JAWA TENGAH,2017,34.13
76,3301 Kabupaten Cilacap,2017,26.2
77,3302 Kabupaten Banyumas,2017,30.35
78,3303 Kabupaten Purbalingga,2017,29.95
79,3304 Kabupaten Banjarnegara,2017,28.78
80,3305 Kabupaten Kebumen,2017,25.2
81,3306 Kabupaten Purworejo,2017,33.99
82,3307 Kabupaten Wonosobo,2017,24.09
83,3308 Kabupaten Magelang,2017,37.41
84,3309 Kabupaten Boyolali,2017,40.53
85,3310 Kabupaten Klaten,2017,37.76
86,3311 Kabupaten Sukoharjo,2017,41.06
87,3312 Kabupaten Wonogiri,2017,39.18
88,3313 Kabupaten Karanganyar,2017,38.11
89,3314 Kabupaten Sragen,2017,37.13
90,3315 Kabupaten Grobogan,2017,24.8
91,3316 Kabupaten Blora,2017,34.69
92,3317 Kabupaten Rembang,2017,31.69
93,3318 Kabupaten Pati,2017,31.39
94,3319 Kabupaten Kudus,2017,40.95
95,3320 Kabupaten Jepara,2017,23.31
96,3321 Kabupaten Demak,2017,38.7
97,3322 Kabupaten Semarang,2017,45.8
98,3323 Kabupaten Temanggung,2017,40.87
99,3324 Kabupaten Kendal,2017,34.86
100,3325 Kabupaten Batang,2017,27.96
101,3326 Kabupaten Pekalongan,2017,25.68
102,3327 Kabupaten Pemalang,2017,35.31
103,3328 Kabupaten Tegal,2017,29.03
104,3329 Kabupaten Brebes,2017,24.76
105,3371 Kota Magelang,2017,41.83
106,3372 Kota Surakarta,2017,43.94
107,3373 Kota Salatiga,2017,41.36
108,3374 Kota Semarang,2017,36.81
109,3375 Kota Pekalongan,2017,27.81
110,3376 Kota Tegal,2017,29.74
112,3300 PROVINSI JAWA TENGAH,2018,34.28
113,3301 Kabupaten Cilacap,2018,26.22
114,3302 Kabupaten Banyumas,2018,30.77
115,3303 Kabupaten Purbalingga,2018,30.12
116,3304 Kabupaten Banjarnegara,2018,28.8
117,3305 Kabupaten Kebumen,2018,25.59
118,3306 Kabupaten Purworejo,2018,33.99
119,3307 Kabupaten Wonosobo,2018,24.56
120,3308 Kabupaten Magelang,2018,37.52
121,3309 Kabupaten Boyolali,2018,40.54
122,3310 Kabupaten Klaten,2018,37.77
123,3311 Kabupaten Sukoharjo,2018,41.04
124,3312 Kabupaten Wonogiri,2018,39.22
125,3313 Kabupaten Karanganyar,2018,38.13
126,3314 Kabupaten Sragen,2018,37.11
127,3315 Kabupaten Grobogan,2018,25.32
128,3316 Kabupaten Blora,2018,34.73
129,3317 Kabupaten Rembang,2018,31.72
130,3318 Kabupaten Pati,2018,31.38
131,3319 Kabupaten Kudus,2018,41.02
132,3320 Kabupaten Jepara,2018,23.73
133,3321 Kabupaten Demak,2018,38.74
134,3322 Kabupaten Semarang,2018,45.79
135,3323 Kabupaten Temanggung,2018,40.85
136,3324 Kabupaten Kendal,2018,34.91
137,3325 Kabupaten Batang,2018,28.24
138,3326 Kabupaten Pekalongan,2018,26.18
139,3327 Kabupaten Pemalang,2018,35.3
140,3328 Kabupaten Tegal,2018,29.04
141,3329 Kabupaten Brebes,2018,25.09
142,3371 Kota Magelang,2018,41.81
143,3372 Kota Surakarta,2018,43.93
144,3373 Kota Salatiga,2018,41.36
145,3374 Kota Semarang,2018,36.9
146,3375 Kota Pekalongan,2018,28.37
147,3376 Kota Tegal,2018,30.24
149,3300 PROVINSI JAWA TENGAH,2019,34.31
150,3301 Kabupaten Cilacap,2019,26.35
151,3302 Kabupaten Banyumas,2019,30.84
152,3303 Kabupaten Purbalingga,2019,30.24
153,3304 Kabupaten Banjarnegara,2019,28.93
154,3305 Kabupaten Kebumen,2019,25.67
155,3306 Kabupaten Purworejo,2019,34.1
156,3307 Kabupaten Wonosobo,2019,24.68
157,3308 Kabupaten Magelang,2019,37.77
158,3309 Kabupaten Boyolali,2019,40.7
159,3310 Kabupaten Klaten,2019,37.81
160,3311 Kabupaten Sukoharjo,2019,41.06
161,3312 Kabupaten Wonogiri,2019,39.25
162,3313 Kabupaten Karanganyar,2019,38.14
163,3314 Kabupaten Sragen,2019,37.18
164,3315 Kabupaten Grobogan,2019,25.43
165,3316 Kabupaten Blora,2019,34.76
166,3317 Kabupaten Rembang,2019,31.82
167,3318 Kabupaten Pati,2019,31.42
168,3319 Kabupaten Kudus,2019,41.09
169,3320 Kabupaten Jepara,2019,23.74
170,3321 Kabupaten Demak,2019,38.77
171,3322 Kabupaten Semarang,2019,45.83
172,3323 Kabupaten Temanggung,2019,40.86
173,3324 Kabupaten Kendal,2019,35.3
174,3325 Kabupaten Batang,2019,28.32
175,3326 Kabupaten Pekalongan,2019,26.19
176,3327 Kabupaten Pemalang,2019,35.34
177,3328 Kabupaten Tegal,2019,29.05
178,3329 Kabupaten Brebes,2019,25.28
179,3371 Kota Magelang,2019,41.83
180,3372 Kota Surakarta,2019,43.95
181,3373 Kota Salatiga,2019,41.4
182,3374 Kota Semarang,2019,37.21
183,3375 Kota Pekalongan,2019,28.53
184,3376 Kota Tegal,2019,30.47
186,3300 PROVINSI JAWA TENGAH,2020,34.29
187,3301 Kabupaten Cilacap,2020,26.44
188,3302 Kabupaten Banyumas,2020,30.87
189,3303 Kabupaten Purbalingga,2020,30.19
190,3304 Kabupaten Banjarnegara,2020,28.88
191,3305 Kabupaten Kebumen,2020,25.79
192,3306 Kabupaten Purworejo,2020,34.03
193,3307 Kabupaten Wonosobo,2020,24.67
194,3308 Kabupaten Magelang,2020,37.82
195,3309 Kabupaten Boyolali,2020,40.73
196,3310 Kabupaten Klaten,2020,37.72
197,3311 Kabupaten Sukoharjo,2020,41.02
198,3312 Kabupaten Wonogiri,2020,39.2
199,3313 Kabupaten Karanganyar,2020,38.11
200,3314 Kabupaten Sragen,2020,37.14
201,3315 Kabupaten Grobogan,2020,25.56
202,3316 Kabupaten Blora,2020,34.88
203,3317 Kabupaten Rembang,2020,31.78
204,3318 Kabupaten Pati,2020,31.36
205,3319 Kabupaten Kudus,2020,41.05
206,3320 Kabupaten Jepara,2020,23.66
207,3321 Kabupaten Demak,2020,38.74
208,3322 Kabupaten Semarang,2020,45.72
209,3323 Kabupaten Temanggung,2020,40.79
210,3324 Kabupaten Kendal,2020,35.27
211,3325 Kabupaten Batang,2020,28.43
212,3326 Kabupaten Pekalongan,2020,26.29
213,3327 Kabupaten Pemalang,2020,35.22
214,3328 Kabupaten Tegal,2020,29.08
215,3329 Kabupaten Brebes,2020,25.2
216,3371 Kota Magelang,2020,41.97
217,3372 Kota Surakarta,2020,44.07
218,3373 Kota Salatiga,2020,41.42
219,3374 Kota Semarang,2020,37.13
220,3375 Kota Pekalongan,2020,28.5
221,3376 Kota Tegal,2020,30.62
223,3300 PROVINSI JAWA TENGAH,2021,34.6
224,3301 Kabupaten Cilacap,2021,26.83
225,3302 Kabupaten Banyumas,2021,30.67
226,3303 Kabupaten Purbalingga,2021,30.61
227,3304 Kabupaten Banjarnegara,2021,29.4
228,3305 Kabupaten Kebumen,2021,25.83
229,3306 Kabupaten Purworejo,2021,34.33
230,3307 Kabupaten Wonosobo,2021,24.31
231,3308 Kabupaten Magelang,2021,37.82
232,3309 Kabupaten Boyolali,2021,40.97
233,3310 Kabupaten Klaten,2021,37.78
234,3311 Kabupaten Sukoharjo,2021,41.42
235,3312 Kabupaten Wonogiri,2021,38.63
236,3313 Kabupaten Karanganyar,2021,38.41
237,3314 Kabupaten Sragen,2021,37.15
238,3315 Kabupaten Grobogan,2021,25.85
239,3316 Kabupaten Blora,2021,34.21
240,3317 Kabupaten Rembang,2021,31.92
241,3318 Kabupaten Pati,2021,31.64
242,3319 Kabupaten Kudus,2021,41.45
243,3320 Kabupaten Jepara,2021,24.08
244,3321 Kabupaten Demak,2021,37.83
245,3322 Kabupaten Semarang,2021,46.19
246,3323 Kabupaten Temanggung,2021,41.19
247,3324 Kabupaten Kendal,2021,35.35
248,3325 Kabupaten Batang,2021,28.92
249,3326 Kabupaten Pekalongan,2021,25.79
250,3327 Kabupaten Pemalang,2021,35.59
251,3328 Kabupaten Tegal,2021,29.09
252,3329 Kabupaten Brebes,2021,25.35
253,3371 Kota Magelang,2021,42.15
254,3372 Kota Surakarta,2021,43.57
255,3373 Kota Salatiga,2021,41.08
256,3374 Kota Semarang,2021,37.46
257,3375 Kota Pekalongan,2021,28.21
258,3376 Kota Tegal,2021,30.19
260,3300 PROVINSI JAWA TENGAH,2022,34.59
261,3301 Kabupaten Cilacap,2022,26.48
262,3302 Kabupaten Banyumas,2022,31.4
263,3303 Kabupaten Purbalingga,2022,29.76
264,3304 Kabupaten Banjarnegara,2022,28.33
265,3305 Kabupaten Kebumen,2022,25.2
266,3306 Kabupaten Purworejo,2022,34.46
267,3307 Kabupaten Wonosobo,2022,24.32
268,3308 Kabupaten Magelang,2022,37.25
269,3309 Kabupaten Boyolali,2022,41.7
270,3310 Kabupaten Klaten,2022,37.45
271,3311 Kabupaten Sukoharjo,2022,40.98
272,3312 Kabupaten Wonogiri,2022,38.98
273,3313 Kabupaten Karanganyar,2022,38.12
274,3314 Kabupaten Sragen,2022,36.37
275,3315 Kabupaten Grobogan,2022,26.06
276,3316 Kabupaten Blora,2022,33.67
277,3317 Kabupaten Rembang,2022,32.5
278,3318 Kabupaten Pati,2022,31.68
279,3319 Kabupaten Kudus,2022,40.71
280,3320 Kabupaten Jepara,2022,24.11
281,3321 Kabupaten Demak,2022,38.35
282,3322 Kabupaten Semarang,2022,46.2
283,3323 Kabupaten Temanggung,2022,40.9
284,3324 Kabupaten Kendal,2022,34.75
285,3325 Kabupaten Batang,2022,27.96
286,3326 Kabupaten Pekalongan,2022,25.84
287,3327 Kabupaten Pemalang,2022,34.78
288,3328 Kabupaten Tegal,2022,29.25
289,3329 Kabupaten Brebes,2022,24.92
290,3371 Kota Magelang,2022,41.84
291,3372 Kota Surakarta,2022,43.85
292,3373 Kota Salatiga,2022,40.4
293,3374 Kota Semarang,2022,38.05
294,3375 Kota Pekalongan,2022,28.04
295,3376 Kota Tegal,2022,29.86
297,3300 PROVINSI JAWA TENGAH,2023,35.21
298,3301 Kabupaten Cilacap,2023,26.42
299,3302 Kabupaten Banyumas,2023,31.7
300,3303 Kabupaten Purbalingga,2023,31.05
301,3304 Kabupaten Banjarnegara,2023,29.19
302,3305 Kabupaten Kebumen,2023,26.1
303,3306 Kabupaten Purworejo,2023,35.6
304,3307 Kabupaten Wonosobo,2023,24.3
305,3308 Kabupaten Magelang,2023,37.55
306,3309 Kabupaten Boyolali,2023,41.66
307,3310 Kabupaten Klaten,2023,37.19
308,3311 Kabupaten Sukoharjo,2023,41.93
309,3312 Kabupaten Wonogiri,2023,38.96
310,3313 Kabupaten Karanganyar,2023,38.91
311,3314 Kabupaten Sragen,2023,37.32
312,3315 Kabupaten Grobogan,2023,26.02
313,3316 Kabupaten Blora,2023,35.09
314,3317 Kabupaten Rembang,2023,32.49
315,3318 Kabupaten Pati,2023,31.67
316,3319 Kabupaten Kudus,2023,41.87
317,3320 Kabupaten Jepara,2023,24.05
318,3321 Kabupaten Demak,2023,38.32
319,3322 Kabupaten Semarang,2023,47.36
320,3323 Kabupaten Temanggung,2023,41.76
321,3324 Kabupaten Kendal,2023,34.54
322,3325 Kabupaten Batang,2023,28.36
323,3326 Kabupaten Pekalongan,2023,25.82
324,3327 Kabupaten Pemalang,2023,34.77
325,3328 Kabupaten Tegal,2023,30.01
326,3329 Kabupaten Brebes,2023,25.17
327,3371 Kota Magelang,2023,42.42
328,3372 Kota Surakarta,2023,45.55
329,3373 Kota Salatiga,2023,41.65
330,3374 Kota Semarang,2023,37.93
331,3375 Kota Pekalongan,2023,28.56
332,3376 Kota Tegal,2023,30.73